date,open,high,low,close,volume,market cap
03-Jan-25,96881.73,98956.92,96034.61,98107.43,35611391163,1.94322E+12
02-Jan-25,94416.29,97739.82,94201.57,96886.88,46009564411,1.91873E+12
01-Jan-25,93425.1,94929.86,92788.13,94419.76,24519888919,1.86985E+12
31-Dec-24,92643.25,96090.6,91914.03,93429.2,43625106843,1.85018E+12
30-Dec-24,93527.2,94903.32,91317.14,92643.21,56188003691,1.83464E+12
29-Dec-24,95174.06,95174.88,92881.79,93530.23,29635885267,1.85212E+12
28-Dec-24,94160.19,95525.9,94014.29,95163.93,24107436185,1.88468E+12
27-Dec-24,95704.97,97294.85,93310.74,94164.86,52419934565,1.86454E+12
26-Dec-24,99297.7,99884.57,95137.89,95795.52,47054980873,1.89694E+12
25-Dec-24,98675.91,99478.75,97593.47,99299.19,33700394629,1.96621E+12
24-Dec-24,94684.35,99404.06,93448.01,98676.1,47114953674,1.95385E+12
23-Dec-24,95099.39,96416.21,92403.13,94686.24,65239002919,1.87531E+12
22-Dec-24,97218.32,97360.26,94202.19,95104.93,43147981314,1.88295E+12
21-Dec-24,97756.19,99507.1,96426.52,97224.73,51765334294,1.92486E+12
20-Dec-24,97484.7,98098.91,92175.18,97755.93,1.05634E+11,1.93546E+12
19-Dec-24,100070.69,102748.15,95587.68,97490.95,97221662392,1.93004E+12
18-Dec-24,106147.3,106470.61,100041.54,100041.54,93865656139,1.98299E+12
17-Dec-24,106030.69,108268.45,105291.74,106140.6,68589364868,2.10134E+12
16-Dec-24,104293.58,107780.58,103322.98,106029.72,91020417816,2.0991E+12
15-Dec-24,101373.53,105047.54,101227.03,104298.7,51145914137,2.06514E+12
14-Dec-24,101451.44,102618.88,100634.06,101372.97,40422968793,2.00681E+12
13-Dec-24,100046.65,101888.81,99233.28,101459.25,56894751583,2.00842E+12
12-Dec-24,101167.81,102524.91,99339.95,100043,72073983533,1.98044E+12
11-Dec-24,96656.06,101913.36,95747.23,101173.03,85391409936,2.00268E+12
10-Dec-24,97441.23,98270.15,94321.26,96675.43,1.04824E+11,1.91324E+12
09-Dec-24,101237.06,101272.5,94355.91,97432.72,1.10676E+11,1.92851E+12
08-Dec-24,99921.92,101399.99,98771.51,101236.01,44125751925,2.00354E+12
07-Dec-24,99916.71,100563.38,99030.89,99923.34,44177510897,1.97752E+12
06-Dec-24,97074.22,102039.88,96514.88,99920.71,94534772658,1.97763E+12
05-Dec-24,98741.54,103900.47,91998.78,96593.57,1.49219E+11,1.91178E+12
04-Dec-24,95988.53,99207.33,94660.52,98768.53,77199817112,1.95416E+12
03-Dec-24,95854.6,96297.2,93629.56,96002.16,67067810961,1.89953E+12
02-Dec-24,97276.01,98152.6,94482.86,95865.3,72680784305,1.89699E+12
01-Dec-24,96461.34,97888.13,95770.18,97279.79,36590695296,1.92478E+12
30-Nov-24,97468.81,97499.34,96144.22,96449.06,31634227866,1.90865E+12
29-Nov-24,95653.95,98693.17,95407.89,97461.52,54968682476,1.92882E+12
28-Nov-24,95954.94,96650.2,94677.35,95652.47,52260008261,1.89287E+12
27-Nov-24,91978.14,97361.18,91778.66,95962.53,71133452438,1.89877E+12
26-Nov-24,93087.28,94991.75,90770.82,91985.32,91656519855,1.82005E+12
25-Nov-24,98033.44,98935.03,92642.91,93102.3,80909462490,1.84226E+12
24-Nov-24,97778.1,98647.18,95788.08,98013.82,51712020623,1.93792E+12
23-Nov-24,99006.74,99014.68,97232.89,97777.28,44414644677,1.93463E+12
22-Nov-24,98496.43,99655.5,97222.67,98997.66,78473580551,1.95895E+12
21-Nov-24,94334.64,99014.21,94132.6,98504.73,1.06025E+11,1.9488E+12
20-Nov-24,92341.89,94902.02,91619.5,94339.5,71730956426,1.86643E+12
19-Nov-24,90536.81,94002.87,90426.99,92343.79,74521048295,1.82696E+12
18-Nov-24,89843.72,92596.79,89393.59,90542.64,75535775084,1.79126E+12
17-Nov-24,90558.46,91433.04,88741.67,89845.85,46350159305,1.77753E+12
16-Nov-24,91064.37,91763.95,90094.23,90558.48,44333192814,1.79154E+12
15-Nov-24,87284.18,91868.74,87124.9,91066.01,78243109518,1.80144E+12
14-Nov-24,90574.88,91765.22,86682.82,87250.43,87616705248,1.72756E+12
13-Nov-24,87929.97,93434.36,86256.93,90584.17,1.23559E+11,1.79174E+12
12-Nov-24,88705.56,89956.88,85155.11,87955.81,1.33673E+11,1.73938E+12
11-Nov-24,80471.41,89604.5,80283.25,88701.49,1.17967E+11,1.75468E+12
10-Nov-24,76775.54,81474.42,76565.43,80474.19,82570594495,1.59175E+12
09-Nov-24,76556.19,76932.76,75773.79,76778.87,29009480361,1.51869E+12
08-Nov-24,75902.83,77252.75,75648.74,76545.48,55176858003,1.51426E+12
07-Nov-24,75637.08,76943.12,74480.42,75904.86,63467654989,1.5013E+12
06-Nov-24,69358.5,76460.15,69322.03,75639.08,1.18593E+11,1.496E+12
05-Nov-24,67811.17,70522.79,67458.87,69359.57,46046889204,1.37179E+12
04-Nov-24,68742.13,69433.18,66803.65,67811.51,41184819348,1.34116E+12
03-Nov-24,69296.38,69361.66,67482.53,68741.12,34868307655,1.35954E+12
02-Nov-24,69486.02,69867.35,69033.72,69289.28,18184612091,1.37047E+12
01-Nov-24,70216.9,71559.02,68779.7,69482.47,49989795365,1.37419E+12
31-Oct-24,72335.04,72662.31,69590.5,70215.19,40627912076,1.38861E+12
30-Oct-24,72715.37,72905.3,71411.74,72339.54,40646637831,1.43046E+12
29-Oct-24,69910.05,73577.21,69729.92,72720.49,58541874402,1.43794E+12
28-Oct-24,67922.67,70212.27,67535.13,69907.75,38799856657,1.38236E+12
27-Oct-24,67023.48,68221.31,66847.22,67929.3,16721307878,1.34323E+12
26-Oct-24,66628.74,67317.92,66360.6,67014.7,19588098156,1.32529E+12
25-Oct-24,68165.3,68722.16,65521.79,66642.41,41469984306,1.31739E+12
24-Oct-24,66653.7,68798.96,66454.1,68161.05,31414428647,1.3478E+12
23-Oct-24,67362.37,67402.74,65188.04,66432.2,32263980353,1.3135E+12
22-Oct-24,67360.7,67801.58,66581.37,67361.4,31808472566,1.33184E+12
21-Oct-24,69002,69462.74,66829.85,67367.85,37498611780,1.3318E+12
20-Oct-24,68364.18,69359.01,68105.72,69001.71,18975847518,1.36421E+12
19-Oct-24,68418.98,68668.01,68024.64,68362.73,14443497908,1.35154E+12
18-Oct-24,67419.11,68969.75,67177.82,68418.79,36857165014,1.35261E+12
17-Oct-24,67617.08,67912.21,66647.39,67399.83,32790898511,1.33282E+12
16-Oct-24,67042.46,68375.29,66758.73,67612.72,38195189534,1.3367E+12
15-Oct-24,66050.37,67881.68,64809.2,67041.11,48863870879,1.32531E+12
14-Oct-24,62848.4,66482.49,62442.15,66046.13,43706958056,1.30566E+12
13-Oct-24,63192.94,63272.65,62035.64,62851.37,18177529690,1.24234E+12
