Date,Price,STH-Realised-Price,STH-MVRV
2023-10-05T00:00:00+00:00,27426.3450926359,27883.96955248013,0.9910652677334468
2023-10-06T00:00:00+00:00,27941.9633760959,27895.90893518734,0.9936065080748916
2023-10-07T00:00:00+00:00,27972.7515704266,27900.556707921,1.0016919599815346
2023-10-08T00:00:00+00:00,27936.3261157218,27900.946225704425,1.0010585073850184
2023-10-09T00:00:00+00:00,27591.3467618352,27859.01730790017,0.9933228151645028
2023-10-10T00:00:00+00:00,27419.7971803039,27850.148553984767,0.9880082696864592
2023-10-11T00:00:00+00:00,26828.1725710111,27823.06027617136,0.9712633357042044
2023-10-12T00:00:00+00:00,26741.3405990649,27802.674397469407,0.9625486934847708
2023-10-13T00:00:00+00:00,26842.4467703098,27794.34747279148,0.964850348063954
2023-10-14T00:00:00+00:00,26861.9892375804,27797.125445565067,0.9672068149390664
2023-10-15T00:00:00+00:00,27130.3067092344,27798.896120188307,0.9694568104484902
2023-10-16T00:00:00+00:00,28506.7936741671,27852.04089403342,1.0027813320010543
2023-10-17T00:00:00+00:00,28433.2051522501,27890.952256119937,1.018315297108628
2023-10-18T00:00:00+00:00,28328.0750195792,27924.729110078915,1.0169678180721688
2023-10-19T00:00:00+00:00,28690.358041204,27897.754443329843,1.0213566821138638
2023-10-20T00:00:00+00:00,29704.9853673291,27983.71926611455,1.05238743654043
2023-10-21T00:00:00+00:00,29922.5464044418,28012.40404430708,1.0647926552878315
2023-10-22T00:00:00+00:00,29984.1593196961,28032.514777126667,1.0675476105013966
2023-10-23T00:00:00+00:00,32954.1690482174,28213.73849783703,1.098929678734716
2023-10-24T00:00:00+00:00,33880.9566537113,28596.856434355628,1.1922559446909216
2023-10-25T00:00:00+00:00,34488.6589210988,28766.46289320813,1.1943086338957436
2023-10-26T00:00:00+00:00,34181.4922521917,28903.81198793293,1.18773381913543
2023-10-27T00:00:00+00:00,33896.938528346,28986.41217116918,1.1716558422655172
2023-10-28T00:00:00+00:00,34091.5890327294,29041.066780907247,1.173916945746634
2023-10-29T00:00:00+00:00,34574.3377206312,29081.889158621834,1.1800343126319657
2023-10-30T00:00:00+00:00,34495.1050207481,29176.19375975531,1.1808853861142676
2023-10-31T00:00:00+00:00,34636.4264736996,29259.03814857523,1.1761378452903473
2023-11-01T00:00:00+00:00,35431.9794532437,29375.92611562167,1.1787500995558158
2023-11-02T00:00:00+00:00,34882.9173366452,29493.092960349622,1.1924518241366262
2023-11-03T00:00:00+00:00,34708.2218804792,29584.672345324045,1.1674519048304517
2023-11-04T00:00:00+00:00,35091.0763062537,29647.105525690757,1.173426257520726
2023-11-05T00:00:00+00:00,35105.0420265926,29683.15538575496,1.1805938967038168
2023-11-06T00:00:00+00:00,35017.7151484512,29755.189743363582,1.1773100441348423
2023-11-07T00:00:00+00:00,35418.4768901227,29839.55977856723,1.1726700732070976
2023-11-08T00:00:00+00:00,35797.8946090006,29946.455701917464,1.18253760486696
2023-11-09T00:00:00+00:00,36675.3264333723,30242.097741047022,1.2117659180630829
2023-11-10T00:00:00+00:00,37367.4943722969,30393.291864239694,1.2162079820698406
2023-11-11T00:00:00+00:00,36979.9312405026,30451.3285387915,1.2181660219765291
2023-11-12T00:00:00+00:00,37053.3410514319,30502.12581296021,1.2157813544122409
2023-11-13T00:00:00+00:00,36543.2680870836,30578.21565587861,1.2061767953283444
2023-11-14T00:00:00+00:00,35590.6835645821,30626.67346852783,1.1817253443209057
2023-11-15T00:00:00+00:00,37840.5534894798,30740.634306196494,1.1813424907982402
2023-11-16T00:00:00+00:00,36160.4044509059,30836.988702947943,1.1970152935135523
2023-11-17T00:00:00+00:00,36569.7120534775,30937.65835976485,1.1758263045308417
2023-11-18T00:00:00+00:00,36577.4249617183,30982.567349208148,1.17820582260214
2023-11-19T00:00:00+00:00,37442.7285119813,31017.893797053937,1.1821936365695302
2023-11-20T00:00:00+00:00,37516.0503708358,31138.86497999162,1.19890102312083
2023-11-21T00:00:00+00:00,36035.0330862069,31396.59713183472,1.1819299586570031
2023-11-22T00:00:00+00:00,37403.0347168323,31494.470846450808,1.1653589189969225
2023-11-23T00:00:00+00:00,37311.7192156634,31565.777907502124,1.1819191533731566
2023-11-24T00:00:00+00:00,37718.7841630625,31646.84541214001,1.1895925015501967
2023-11-25T00:00:00+00:00,37800.1260932203,31691.93575989769,1.192163556040709
2023-11-26T00:00:00+00:00,37482.7055260082,31722.777397680675,1.1855742598402834
2023-11-27T00:00:00+00:00,37229.2452197545,31743.693039837064,1.1699423237678406
2023-11-28T00:00:00+00:00,37828.4655911748,31816.42355534281,1.1775670779431506
