Time,Low,High,Open,Close,Volume
23-Sep-2015,229.27,233,231.31,230.26,6357.676049
24-Sep-2015,230.09,235.99,230.26,235.27,9375.094142
25-Sep-2015,234.02,237.62,235.35,235.89,6186.862838
26-Sep-2015,233.5,236.2,235.88,234.69,4167.952469
27-Sep-2015,233.2,235.03,234.67,233.58,3302.854502
28-Sep-2015,233.53,240.52,233.53,239.99,8114.322178
29-Sep-2015,236.65,241.05,239.96,236.89,6984.746615
30-Sep-2015,236.26,238.75,236.88,237.14,5479.432846
01-Oct-2015,236.9,239.86,237.1,238.34,5676.938915
02-Oct-2015,236.97,239.4,238.34,238.28,5907.549292
03-Oct-2015,237.73,240.62,238.31,239.92,4332.270319
04-Oct-2015,239.07,240.28,239.93,239.87,3794.120856
05-Oct-2015,237.5,240.98,239.87,240.95,7487.561723
06-Oct-2015,240.31,248,240.93,246.64,9578.721464
07-Oct-2015,240.2,247.96,246.7,244,8822.054795
08-Oct-2015,242.2,245.38,244,242.94,5622.451568
09-Oct-2015,241.1,244.88,242.94,244.35,4935.025522
10-Oct-2015,243.8,246.1,244.44,246.07,3688.533414
11-Oct-2015,245.63,250,246.06,249.02,4323.266124
12-Oct-2015,245.89,249.14,249.01,246.39,5402.186085
13-Oct-2015,244.86,251.5,246.43,250.99,6502.185266
14-Oct-2015,250.25,255,250.98,253.27,7587.526674
15-Oct-2015,253.18,256.77,253.25,254.99,6678.921244
16-Oct-2015,254.86,267.6,254.98,263.43,9215.97339
17-Oct-2015,263.05,274.81,263.45,272.87,11034.22731
18-Oct-2015,262.94,273.5,272.88,265,5660.018133
19-Oct-2015,262.05,268.23,265,265.17,5364.331825
20-Oct-2015,264.38,272.95,265.09,271.14,4648.366853
21-Oct-2015,265,272.85,271.16,268.77,6195.066469
22-Oct-2015,268.75,280,268.77,275.84,8695.883883
23-Oct-2015,275.4,281.17,275.76,278.76,7072.894704
24-Oct-2015,278.75,284.49,278.76,284.29,5508.016725
25-Oct-2015,283.28,295.93,284.29,284.97,10695.70837
26-Oct-2015,282.04,287.68,284.97,287.1,7477.924219
27-Oct-2015,286.89,297.99,287.1,295.61,11123.68179
28-Oct-2015,295.65,308.93,295.68,304.09,16047.51077
29-Oct-2015,301.8,320.99,304.1,316.08,12247.98108
30-Oct-2015,315.9,336.97,316.07,329.11,16830.20005
31-Oct-2015,306.29,334.28,329.11,314.85,15213.75033
01-Nov-2015,311.44,332,314.84,329.46,10727.71809
02-Nov-2015,326.07,371.82,329.45,365.21,19750.03525
03-Nov-2015,362.07,422.3,365.14,404.1,40167.75664
04-Nov-2015,368.15,499.99,404.06,410,50604.11892
05-Nov-2015,366.66,450,410,387.21,27228.23312
06-Nov-2015,351,395,387.21,374.09,20036.2291
07-Nov-2015,371.43,392,374.26,384.81,8396.124566
08-Nov-2015,363.58,389,384.8,373.83,7459.03456
09-Nov-2015,360.8,386.96,373.84,379.53,11225.64568
10-Nov-2015,322,382.23,379.55,337.14,16694.82226
11-Nov-2015,293.32,341.75,337.14,313.2,18099.03829
12-Nov-2015,312.24,344.99,313.2,336.49,15784.26818
13-Nov-2015,325,343,336.49,338.07,10203.5664
14-Nov-2015,329.4,339.57,338.08,334.71,6008.710164
15-Nov-2015,319.89,336.46,334.67,322.93,6329.302827
16-Nov-2015,316.12,334.1,322.94,332.89,7295.396515
17-Nov-2015,330.1,340.72,332.85,336.49,7262.456987
18-Nov-2015,330,338,336.49,335.49,5204.310117
19-Nov-2015,324.9,336.38,335.5,326.41,6720.695931
20-Nov-2015,311.23,327.04,326.53,322.39,9324.440814
21-Nov-2015,316.33,328,322.39,327,5125.958809
22-Nov-2015,321,327,326.99,323.71,3426.178602
23-Nov-2015,322,326,323.72,323,4797.364622
24-Nov-2015,318,323.17,323.01,321,5234.702619
25-Nov-2015,316.26,330.06,320.96,328.98,7870.714162
26-Nov-2015,328.98,368.18,328.99,352.57,14023.74766
27-Nov-2015,347.96,364.46,352.56,358.19,7234.830706
28-Nov-2015,351.09,359.63,358.2,357.24,5553.331495
29-Nov-2015,354.26,373.63,357.24,372.24,5537.923139
30-Nov-2015,367.5,382.87,372.25,376.86,11425.77473
01-Dec-2015,354.6,378.94,376.88,362.68,9267.092086
02-Dec-2015,347.55,363.06,362.68,360,8966.988242
03-Dec-2015,356.52,369.99,360,361.77,7242.504373
04-Dec-2015,355.43,364.85,361.89,363.98,5864.705649
05-Dec-2015,363.97,390,363.98,387.99,8731.852301
06-Dec-2015,375.22,401.01,388.03,387.55,9639.704835
07-Dec-2015,383,397.57,387.53,394.73,7578.140343
08-Dec-2015,386.69,418.94,394.73,418.94,8264.824572
09-Dec-2015,401,425,417.84,418.39,13828.50629
10-Dec-2015,408,419.5,418.39,415.68,7117.838237
11-Dec-2015,415.67,453.13,415.68,452.95,13643.56245
12-Dec-2015,403,469.34,452.95,436.87,29525.37096
13-Dec-2015,419.42,443.83,436.9,433.83,6721.4886
14-Dec-2015,429.12,450,433.38,444.01,165542.811
15-Dec-2015,443.76,464.95,444.03,464.27,11008.16686
16-Dec-2015,440,464.73,464.5,453.97,35979.12462
17-Dec-2015,446.01,456.33,453.96,455.5,6291.403941
18-Dec-2015,453.28,465.1,455.5,463.17,5045.110025
19-Dec-2015,451.58,465.6,463.14,461.29,6991.384363
20-Dec-2015,430,461.3,461.29,442.22,8376.433353
21-Dec-2015,424.66,444.44,442.36,436.81,6845.941204
22-Dec-2015,432.58,442,436.85,433.92,6659.301969
23-Dec-2015,428.29,445.11,433.94,442.43,7571.530727
24-Dec-2015,442.42,460,442.43,455.74,6860.237531
25-Dec-2015,450.01,458.99,455.74,455.84,3482.660512
26-Dec-2015,410,458.29,455.82,419.41,13505.23265
27-Dec-2015,410.02,429.85,419.41,424.72,5568.97684
28-Dec-2015,418,429.9,424.73,421.94,6929.617995
29-Dec-2015,419.31,433.9,421.94,433.89,6387.097139
30-Dec-2015,422.35,434.99,433.89,427.95,4884.61573
31-Dec-2015,419.04,434,427.9,430.35,6480.693574
01-Jan-2016,427.92,437.15,430.35,435.66,3863.277451
02-Jan-2016,432.41,437.56,435.67,435.4,3276.709621
03-Jan-2016,425.02,435.75,435.4,431.91,3904.335318
04-Jan-2016,431.37,435.79,431.9,433.85,5894.445723
05-Jan-2016,430,435.64,433.84,433.34,5150.109476
06-Jan-2016,428.15,433.46,433.32,430.87,5476.959959
07-Jan-2016,430.64,460.15,430.66,459.07,13907.20173
08-Jan-2016,447.53,464.4,459.07,454.44,8347.09504
09-Jan-2016,447.66,456,454.41,450.38,4247.639651
10-Jan-2016,442.96,451.39,450.39,449.99,3954.3224
11-Jan-2016,445.88,452.65,449.99,449.19,5597.637183
12-Jan-2016,431.83,449.44,449.26,434.01,6596.945453
13-Jan-2016,425,437.5,434.01,432.77,9009.150709
14-Jan-2016,428,435.27,432.7,430.03,5673.632962
15-Jan-2016,357.3,430.29,430.04,357.53,28641.67359
16-Jan-2016,350.92,391,357.59,388.7,17985.23878
17-Jan-2016,372,391,388.7,378.46,8278.401793
18-Jan-2016,370.1,386.1,378.47,384.89,8711.459756
19-Jan-2016,370,385.5,384.79,375.27,8133.36701
20-Jan-2016,369,425.1,375.28,418.54,13874.69166
21-Jan-2016,403.21,424.78,418.89,409.38,8739.163419
22-Jan-2016,373.86,413.99,409.02,382.9,13430.10304
23-Jan-2016,382.55,398.72,382.93,387.5,6310.030022
24-Jan-2016,387.49,406.93,387.5,403.05,3550.831772
25-Jan-2016,386.41,403.04,403.04,391.4,6491.999812
26-Jan-2016,387.78,397,391.4,391.54,6981.0099
27-Jan-2016,390.7,397.18,391.7,394.79,6324.16419
28-Jan-2016,377.12,395,394.6,379.61,9103.715499
29-Jan-2016,363.25,385.05,379.63,378.68,12105.31044
30-Jan-2016,375,382.04,378.68,378.46,4154.296422
31-Jan-2016,365,382.5,378.46,367.95,5506.776813
01-Feb-2016,366.26,379,367.89,371.33,7931.229229
02-Feb-2016,371.17,374.41,371.33,372.93,6856.218158
03-Feb-2016,365.63,373.01,372.93,368.87,7147.956573
04-Feb-2016,368.74,390.63,368.87,387.99,8887.757232
05-Feb-2016,382.99,389.36,387.99,384.5,7443.929332
06-Feb-2016,370.05,384.54,384.44,375.44,6276.664737
07-Feb-2016,373.24,379.81,375.44,377.49,4164.509111
08-Feb-2016,370.5,379.35,377.47,371.14,7094.208578
09-Feb-2016,370.13,374.93,371.02,372.68,8424.594208
10-Feb-2016,371.87,383.34,372.76,378.44,9736.036825
11-Feb-2016,360,379.5,378.49,378.23,10413.06372
12-Feb-2016,377.46,382.05,378.23,382.05,6162.217623
13-Feb-2016,381.99,396,382.05,391,5978.856472
14-Feb-2016,391,406.92,391,406.59,7557.25485
15-Feb-2016,394.03,409.09,406.62,398.95,6568.485383
16-Feb-2016,390,407.5,398.94,407.42,5649.435571
17-Feb-2016,405.69,420.13,407.41,415.2,8707.134003
18-Feb-2016,415.01,423.2,415.18,421.19,6518.637612
19-Feb-2016,416,422,421.18,420.72,5800.217532
20-Feb-2016,420.09,444.03,420.72,437.46,9368.595129
21-Feb-2016,426.01,448.7,438.04,438.56,7111.144586
22-Feb-2016,430.95,439,438.56,437.55,5131.799883
23-Feb-2016,414.16,440.9,437.45,419.97,9159.032245
24-Feb-2016,410,425.6,420.32,423.94,7232.282365
25-Feb-2016,418.6,426.44,423.87,423.54,6049.818115
26-Feb-2016,419.53,430.85,423.51,430.85,6782.037465
27-Feb-2016,430.14,434.97,430.84,433.12,5520.655269
28-Feb-2016,423,436.07,433.09,433.73,5149.93009
29-Feb-2016,431.13,442,433.73,436.44,7578.890069
01-Mar-2016,427.5,437.78,436.41,433.08,7580.233063
02-Mar-2016,418.36,435.36,433.03,420.39,7437.608435
03-Mar-2016,408.63,422.8,420.44,418.8,11833.72087
04-Mar-2016,405.5,422.21,418.76,407.35,8961.109572
05-Mar-2016,381.09,408.83,407.38,396.08,14903.33778
06-Mar-2016,385.01,409.27,396.13,403.24,7676.293223
07-Mar-2016,395,418.74,403.24,412.21,9910.744242
08-Mar-2016,407.4,416.33,412.21,411.18,7501.476496
09-Mar-2016,408.75,414,411.18,412.8,5399.361362
10-Mar-2016,410.71,416.52,412.64,415.98,7909.175867
11-Mar-2016,414.97,421,415.98,419.39,7041.458143
12-Mar-2016,406.52,421.3,419.48,410.58,6897.105099
13-Mar-2016,410.01,416.38,410.56,412.52,4663.328797
14-Mar-2016,411.61,415.84,412.51,415.02,6672.712652
15-Mar-2016,412.48,416.94,415.02,415.41,7355.0796
16-Mar-2016,413,416.39,415.41,416.07,6274.808811
17-Mar-2016,415.7,419.75,416.06,418.41,6108.443285
18-Mar-2016,399.21,418.66,418.42,409.65,8597.586764
19-Mar-2016,404.72,411,409.66,410.2,4840.133579
20-Mar-2016,409.36,415.34,410.09,411.27,4726.107175
21-Mar-2016,406.89,412.13,411.25,412,6020.518108
22-Mar-2016,411,417.79,411.98,416.66,6124.691856
23-Mar-2016,413.95,418.99,416.66,417.53,5506.919453
